prefix,resource,organisation,reference,entity
development-policy,,local-authority-eng:BUC,sblp-H6,5600378
development-policy,,local-authority-eng:BUC,sblp-H9,5600379
development-policy,,local-authority-eng:BUC,sblp-H10,5600380
development-policy,,local-authority-eng:BUC,sblp-H11,5600381
development-policy,,local-authority-eng:BUC,sblp-H12,5600382
development-policy,,local-authority-eng:BUC,sblp-H13,5600383
development-policy,,local-authority-eng:BUC,sblp-TC1,5600384
development-policy,,local-authority-eng:BUC,sblp-S1,5600385
development-policy,,local-authority-eng:BUC,sblp-S2,5600386
development-policy,,local-authority-eng:BUC,sblp-S3,5600387
development-policy,,local-authority-eng:BUC,sblp-S4,5600388
development-policy,,local-authority-eng:BUC,sblp-S6,5600389
development-policy,,local-authority-eng:BUC,sblp-S9,5600390
development-policy,,local-authority-eng:BUC,sblp-E2,5600391
development-policy,,local-authority-eng:BUC,sblp-TR4,5600392
development-policy,,local-authority-eng:BUC,sblp-TR5,5600393
development-policy,,local-authority-eng:BUC,sblp-TR7,5600394
development-policy,,local-authority-eng:BUC,sblp-TR10,5600395
development-policy,,local-authority-eng:BUC,sblp-TR12,5600396
development-policy,,local-authority-eng:BUC,sblp-TR13,5600397
development-policy,,local-authority-eng:BUC,sblp-COM1,5600398
development-policy,,local-authority-eng:BUC,sblp-COM2,5600399
development-policy,,local-authority-eng:BUC,sbcs-CP1,5600400
development-policy,,local-authority-eng:BUC,sbcs-CP2,5600401
development-policy,,local-authority-eng:BUC,sbcs-CP3,5600402
development-policy,,local-authority-eng:BUC,sbcs-CP4,5600403
development-policy,,local-authority-eng:BUC,sbcs-CP5,5600404
development-policy,,local-authority-eng:BUC,sbcs-CP6,5600405
development-policy,,local-authority-eng:BUC,sbcs-CP7,5600406
development-policy,,local-authority-eng:BUC,sbcs-CP8,5600407
development-policy,,local-authority-eng:BUC,sbcs-CP9,5600408
development-policy,,local-authority-eng:BUC,sbcs-CP10,5600409
development-policy,,local-authority-eng:BUC,sbcs-CP11,5600410
development-policy,,local-authority-eng:BUC,sbcs-CP12,5600411
development-policy,,local-authority-eng:BUC,sbcs-CP13,5600412
