end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,42101406,,,,listed-building-outline,,,,407
,,42101407,,,,listed-building-outline,,,,408
,,42101408,,,,listed-building-outline,,,,409
,,42101409,,,,listed-building-outline,,,,410
,,42101410,,,,listed-building-outline,,,,411
,,42101411,,,,listed-building-outline,,,,412
,,42101412,,,,listed-building-outline,,,,413
,,42101413,,,,listed-building-outline,,,,414
,,42101414,,,,listed-building-outline,,,,415
,,42101415,,,,listed-building-outline,,,,416
,,42101416,,,,listed-building-outline,,,,417
,,42101417,,,,listed-building-outline,,,,418
,,42101418,,,,listed-building-outline,,,,419
,,42101419,,,,listed-building-outline,,,,420
,,42101420,,,,listed-building-outline,,,,421
,,42101421,,,,listed-building-outline,,,,422
,,42101422,,,,listed-building-outline,,,,423
,,42101423,,,,listed-building-outline,,,,424
,,42101424,,,,listed-building-outline,,,,425
,,42101425,,,,listed-building-outline,,,,426
,,42101426,,,,listed-building-outline,,,,427
,,42101427,,,,listed-building-outline,,,,428
,,42101428,,,,listed-building-outline,,,,429
,,42101429,,,,listed-building-outline,,,,430
,,42101430,,,,listed-building-outline,,,,431
,,42101431,,,,listed-building-outline,,,,432
,,42101432,,,,listed-building-outline,,,,433
,,42101433,,,,listed-building-outline,,,,434
,,42101434,,,,listed-building-outline,,,,435
,,42101435,,,,listed-building-outline,,,,436
,,42101436,,,,listed-building-outline,,,,437
,,42101437,,,,listed-building-outline,,,,438
,,42101438,,,,listed-building-outline,,,,439
,,42101439,,,,listed-building-outline,,,,440
,,42101440,,,,listed-building-outline,,,,441
,,42101441,,,,listed-building-outline,,,,442
,,42101442,,,,listed-building-outline,,,,443
,,42101443,,,,listed-building-outline,,,,444
,,42101444,,,,listed-building-outline,,,,445
,,42101445,,,,listed-building-outline,,,,446
,,42101446,,,,listed-building-outline,,,,447
,,42101447,,,,listed-building-outline,,,,448
,,42101448,,,,listed-building-outline,,,,449
,,42101449,,,,listed-building-outline,,,,450
,,42101450,,,,listed-building-outline,,,,451
,,42101451,,,,listed-building-outline,,,,452
,,42101452,,,,listed-building-outline,,,,453
,,42101453,,,,listed-building-outline,,,,454
,,42101454,,,,listed-building-outline,,,,455
,,42101455,,,,listed-building-outline,,,,456
,,42101456,,,,listed-building-outline,,,,457
,,42101457,,,,listed-building-outline,,,,458
,,42101458,,,,listed-building-outline,,,,459
,,42101459,,,,listed-building-outline,,,,460
,,42101460,,,,listed-building-outline,,,,461
,,42101461,,,,listed-building-outline,,,,462
,,42101462,,,,listed-building-outline,,,,463
,,42101463,,,,listed-building-outline,,,,464
,,42101464,,,,listed-building-outline,,,,465
,,42101465,,,,listed-building-outline,,,,466
,,42101466,,,,listed-building-outline,,,,467
,,42101467,,,,listed-building-outline,,,,468
,,42101468,,,,listed-building-outline,,,,469
,,42101469,,,,listed-building-outline,,,,470
,,42101470,,,,listed-building-outline,,,,471
,,42101471,,,,listed-building-outline,,,,472
,,42101472,,,,listed-building-outline,,,,473
,,42101473,,,,listed-building-outline,,,,474
,,42101474,,,,listed-building-outline,,,,475
,,42101475,,,,listed-building-outline,,,,476
,,42101476,,,,listed-building-outline,,,,477
,,42101477,,,,listed-building-outline,,,,478
,,42101478,,,,listed-building-outline,,,,479
,,42101479,,,,listed-building-outline,,,,480
,,42101480,,,,listed-building-outline,,,,481
,,42101481,,,,listed-building-outline,,,,482
,,42101482,,,,listed-building-outline,,,,483
,,42101483,,,,listed-building-outline,,,,484
,,42101484,,,,listed-building-outline,,,,485
,,42101485,,,,listed-building-outline,,,,486
,,42101486,,,,listed-building-outline,,,,487
,,42101487,,,,listed-building-outline,,,,488
,,42101488,,,,listed-building-outline,,,,489
,,42101489,,,,listed-building-outline,,,,490
,,42101490,,,,listed-building-outline,,,,491
,,42101491,,,,listed-building-outline,,,,492
,,42101492,,,,listed-building-outline,,,,493
,,42101493,,,,listed-building-outline,,,,494
,,42101494,,,,listed-building-outline,,,,495
,,42101495,,,,listed-building-outline,,,,496
,,42101496,,,,listed-building-outline,,,,497
,,42101497,,,,listed-building-outline,,,,498
,,42101498,,,,listed-building-outline,,,,499
,,42101499,,,,listed-building-outline,,,,500
,,42101500,,,,listed-building-outline,,,,501
,,42101501,,,,listed-building-outline,,,,502
,,42101502,,,,listed-building-outline,,,,503
,,42101503,,,,listed-building-outline,,,,504
,,42101504,,,,listed-building-outline,,,,505
,,42101505,,,,listed-building-outline,,,,506
,,42101506,,,,listed-building-outline,,,,507
,,42101507,,,,listed-building-outline,,,,508
,,42101508,,,,listed-building-outline,,,,509
,,42101509,,,,listed-building-outline,,,,510
,,42101510,,,,listed-building-outline,,,,511
,,42101511,,,,listed-building-outline,,,,512
,,42101512,,,,listed-building-outline,,,,513
,,42101513,,,,listed-building-outline,,,,514
,,42101514,,,,listed-building-outline,,,,515
,,42101515,,,,listed-building-outline,,,,516
,,42101516,,,,listed-building-outline,,,,517
,,42101517,,,,listed-building-outline,,,,518
,,42101518,,,,listed-building-outline,,,,519
,,42101519,,,,listed-building-outline,,,,520
,,42101520,,,,listed-building-outline,,,,521
,,42101521,,,,listed-building-outline,,,,522
,,42101522,,,,listed-building-outline,,,,523
,,42101523,,,,listed-building-outline,,,,524
,,42101524,,,,listed-building-outline,,,,525
,,42101525,,,,listed-building-outline,,,,526
,,42101526,,,,listed-building-outline,,,,527
,,42101527,,,,listed-building-outline,,,,528
,,42101528,,,,listed-building-outline,,,,529
,,42101529,,,,listed-building-outline,,,,530
,,42101530,,,,listed-building-outline,,,,531
,,42101531,,,,listed-building-outline,,,,532
,,42101532,,,,listed-building-outline,,,,533
,,42101533,,,,listed-building-outline,,,,534
,,42101534,,,,listed-building-outline,,,,535
,,42101535,,,,listed-building-outline,,,,536
,,42101536,,,,listed-building-outline,,,,537
,,42101537,,,,listed-building-outline,,,,538
,,42101538,,,,listed-building-outline,,,,539
,,42101539,,,,listed-building-outline,,,,540
,,42101540,,,,listed-building-outline,,,,541
,,42101541,,,,listed-building-outline,,,,542
,,42101542,,,,listed-building-outline,,,,543
,,42101543,,,,listed-building-outline,,,,544
,,42101544,,,,listed-building-outline,,,,545
,,42101545,,,,listed-building-outline,,,,546
,,42101546,,,,listed-building-outline,,,,547
,,42101547,,,,listed-building-outline,,,,548
,,42101548,,,,listed-building-outline,,,,549
,,42101549,,,,listed-building-outline,,,,550
,,42101550,,,,listed-building-outline,,,,551
,,42101551,,,,listed-building-outline,,,,552
,,42101552,,,,listed-building-outline,,,,553
,,42101553,,,,listed-building-outline,,,,554
,,42101554,,,,listed-building-outline,,,,555
,,42101555,,,,listed-building-outline,,,,556
,,42101556,,,,listed-building-outline,,,,557
,,42101557,,,,listed-building-outline,,,,558
,,42101558,,,,listed-building-outline,,,,559
,,42101559,,,,listed-building-outline,,,,560
,,42101560,,,,listed-building-outline,,,,561
,,42101561,,,,listed-building-outline,,,,562
,,42101562,,,,listed-building-outline,,,,563
,,42101563,,,,listed-building-outline,,,,564
,,42101564,,,,listed-building-outline,,,,565
,,42101565,,,,listed-building-outline,,,,566
,,42101566,,,,listed-building-outline,,,,567
,,42101567,,,,listed-building-outline,,,,568
,,42101568,,,,listed-building-outline,,,,569
,,42101569,,,,listed-building-outline,,,,570
,,42101570,,,,listed-building-outline,,,,571
,,42101571,,,,listed-building-outline,,,,572
,,42101572,,,,listed-building-outline,,,,573
,,42101573,,,,listed-building-outline,,,,574
,,42101574,,,,listed-building-outline,,,,575
,,42101575,,,,listed-building-outline,,,,576
,,42101576,,,,listed-building-outline,,,,577
,,42101577,,,,listed-building-outline,,,,578
,,42101578,,,,listed-building-outline,,,,579
,,42101579,,,,listed-building-outline,,,,580
,,42101580,,,,listed-building-outline,,,,581
,,42101581,,,,listed-building-outline,,,,582
,,42101582,,,,listed-building-outline,,,,583
,,42101583,,,,listed-building-outline,,,,584
,,42101584,,,,listed-building-outline,,,,585
,,42101585,,,,listed-building-outline,,,,586
,,42101586,,,,listed-building-outline,,,,587
,,42101587,,,,listed-building-outline,,,,588
,,42101588,,,,listed-building-outline,,,,589
,,42101589,,,,listed-building-outline,,,,590
,,42101590,,,,listed-building-outline,,,,591
,,42101591,,,,listed-building-outline,,,,592
,,42101592,,,,listed-building-outline,,,,593
,,42101593,,,,listed-building-outline,,,,594
,,42101594,,,,listed-building-outline,,,,595
,,42101595,,,,listed-building-outline,,,,596
