end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,11100375,,,,park-and-garden,,,,1000482
,,11100376,,,,park-and-garden,,,,1000483
,,11100377,,,,park-and-garden,,,,1000484
,,11100378,,,,park-and-garden,,,,1000485
,,11100379,,,,park-and-garden,,,,1000486
,,11100380,,,,park-and-garden,,,,1000487
,,11100381,,,,park-and-garden,,,,1000488
,,11100382,,,,park-and-garden,,,,1000489
,,11100383,,,,park-and-garden,,,,1000490
,,11100384,,,,park-and-garden,,,,1000491
,,11100385,,,,park-and-garden,,,,1000492
,,11100386,,,,park-and-garden,,,,1000493
,,11100387,,,,park-and-garden,,,,1000494
,,11100388,,,,park-and-garden,,,,1000495
,,11100389,,,,park-and-garden,,,,1000496
,,11100390,,,,park-and-garden,,,,1000497
,,11100391,,,,park-and-garden,,,,1000498
,,11100392,,,,park-and-garden,,,,1000499
,,11100393,,,,park-and-garden,,,,1000500
,,11100394,,,,park-and-garden,,,,1000501
,,11100395,,,,park-and-garden,,,,1000502
,,11100396,,,,park-and-garden,,,,1000503
,,11100397,,,,park-and-garden,,,,1000504
,,11100398,,,,park-and-garden,,,,1000505
,,11100399,,,,park-and-garden,,,,1000506
,,11100400,,,,park-and-garden,,,,1000507
,,11100401,,,,park-and-garden,,,,1000508
,,11100402,,,,park-and-garden,,,,1000509
,,11100403,,,,park-and-garden,,,,1000510
,,11100404,,,,park-and-garden,,,,1000511
,,11100405,,,,park-and-garden,,,,1000512
,,11100406,,,,park-and-garden,,,,1000513
,,11100407,,,,park-and-garden,,,,1000514
,,11100408,,,,park-and-garden,,,,1000515
,,11100409,,,,park-and-garden,,,,1000516
,,11100410,,,,park-and-garden,,,,1000517
,,11100411,,,,park-and-garden,,,,1000518
,,11100412,,,,park-and-garden,,,,1000519
,,11100413,,,,park-and-garden,,,,1000520
,,11100414,,,,park-and-garden,,,,1000521
,,11100415,,,,park-and-garden,,,,1000522
,,11100416,,,,park-and-garden,,,,1000523
,,11100417,,,,park-and-garden,,,,1000524
,,11100418,,,,park-and-garden,,,,1000525
,,11100419,,,,park-and-garden,,,,1000526
,,11100420,,,,park-and-garden,,,,1000527
,,11100421,,,,park-and-garden,,,,1000528
,,11100422,,,,park-and-garden,,,,1000529
,,11100423,,,,park-and-garden,,,,1000530
,,11100424,,,,park-and-garden,,,,1000531
,,11100425,,,,park-and-garden,,,,1000532
,,11100426,,,,park-and-garden,,,,1000533
,,11100427,,,,park-and-garden,,,,1000534
,,11100428,,,,park-and-garden,,,,1000535
,,11100429,,,,park-and-garden,,,,1000536
,,11100430,,,,park-and-garden,,,,1000537
,,11100431,,,,park-and-garden,,,,1000538
,,11100432,,,,park-and-garden,,,,1000539
,,11100433,,,,park-and-garden,,,,1000540
,,11100434,,,,park-and-garden,,,,1000541
,,11100435,,,,park-and-garden,,,,1000542
,,11100436,,,,park-and-garden,,,,1000543
,,11100437,,,,park-and-garden,,,,1000544
,,11100438,,,,park-and-garden,,,,1000545
,,11100439,,,,park-and-garden,,,,1000546
,,11100440,,,,park-and-garden,,,,1000547
,,11100441,,,,park-and-garden,,,,1000548
,,11100442,,,,park-and-garden,,,,1000549
,,11100443,,,,park-and-garden,,,,1000550
,,11100444,,,,park-and-garden,,,,1000551
,,11100445,,,,park-and-garden,,,,1000552
,,11100446,,,,park-and-garden,,,,1000553
,,11100447,,,,park-and-garden,,,,1000554
,,11100448,,,,park-and-garden,,,,1000555
,,11100449,,,,park-and-garden,,,,1000556
,,11100450,,,,park-and-garden,,,,1000557
,,11100451,,,,park-and-garden,,,,1000558
,,11100452,,,,park-and-garden,,,,1000559
,,11100453,,,,park-and-garden,,,,1000560
,,11100454,,,,park-and-garden,,,,1000561
,,11100455,,,,park-and-garden,,,,1000562
,,11100456,,,,park-and-garden,,,,1000563
,,11100457,,,,park-and-garden,,,,1000564
,,11100458,,,,park-and-garden,,,,1000565
,,11100459,,,,park-and-garden,,,,1000566
,,11100460,,,,park-and-garden,,,,1000567
,,11100461,,,,park-and-garden,,,,1000568
,,11100462,,,,park-and-garden,,,,1000569
,,11100463,,,,park-and-garden,,,,1000570
,,11100464,,,,park-and-garden,,,,1000571
,,11100465,,,,park-and-garden,,,,1000572
,,11100466,,,,park-and-garden,,,,1000573
,,11100467,,,,park-and-garden,,,,1000574
,,11100468,,,,park-and-garden,,,,1000575
,,11100469,,,,park-and-garden,,,,1000576
,,11100470,,,,park-and-garden,,,,1000577
,,11100471,,,,park-and-garden,,,,1000578
,,11100472,,,,park-and-garden,,,,1000579
,,11100473,,,,park-and-garden,,,,1000580
,,11100474,,,,park-and-garden,,,,1000581
,,11100475,,,,park-and-garden,,,,1000582
,,11100476,,,,park-and-garden,,,,1000583
,,11100477,,,,park-and-garden,,,,1000584
,,11100478,,,,park-and-garden,,,,1000585
,,11100479,,,,park-and-garden,,,,1000586
,,11100480,,,,park-and-garden,,,,1000587
,,11100481,,,,park-and-garden,,,,1000588
,,11100482,,,,park-and-garden,,,,1000589
,,11100483,,,,park-and-garden,,,,1000590
,,11100484,,,,park-and-garden,,,,1000591
,,11100485,,,,park-and-garden,,,,1000592
,,11100486,,,,park-and-garden,,,,1000593
,,11100487,,,,park-and-garden,,,,1000594
,,11100488,,,,park-and-garden,,,,1000595
,,11100489,,,,park-and-garden,,,,1000596
,,11100490,,,,park-and-garden,,,,1000597
,,11100491,,,,park-and-garden,,,,1000598
,,11100492,,,,park-and-garden,,,,1000599
,,11100493,,,,park-and-garden,,,,1000600
,,11100494,,,,park-and-garden,,,,1000601
,,11100495,,,,park-and-garden,,,,1000602
,,11100496,,,,park-and-garden,,,,1000603
,,11100497,,,,park-and-garden,,,,1000604
,,11100498,,,,park-and-garden,,,,1000605
,,11100499,,,,park-and-garden,,,,1000606
,,11100500,,,,park-and-garden,,,,1000607
,,11100501,,,,park-and-garden,,,,1000608
,,11100502,,,,park-and-garden,,,,1000609
,,11100503,,,,park-and-garden,,,,1000610
,,11100504,,,,park-and-garden,,,,1000611
,,11100505,,,,park-and-garden,,,,1000612
,,11100506,,,,park-and-garden,,,,1000613
,,11100507,,,,park-and-garden,,,,1000614
,,11100508,,,,park-and-garden,,,,1000615
,,11100509,,,,park-and-garden,,,,1000616
,,11100510,,,,park-and-garden,,,,1000617
,,11100511,,,,park-and-garden,,,,1000618
,,11100512,,,,park-and-garden,,,,1000619
,,11100513,,,,park-and-garden,,,,1000620
,,11100514,,,,park-and-garden,,,,1000621
,,11100515,,,,park-and-garden,,,,1000622
,,11100516,,,,park-and-garden,,,,1000623
,,11100517,,,,park-and-garden,,,,1000624
,,11100518,,,,park-and-garden,,,,1000625
,,11100519,,,,park-and-garden,,,,1000626
,,11100520,,,,park-and-garden,,,,1000627
,,11100521,,,,park-and-garden,,,,1000628
,,11100522,,,,park-and-garden,,,,1000629
,,11100523,,,,park-and-garden,,,,1000630
,,11100524,,,,park-and-garden,,,,1000631
,,11100525,,,,park-and-garden,,,,1000632
,,11100526,,,,park-and-garden,,,,1000633
,,11100527,,,,park-and-garden,,,,1000634
,,11100528,,,,park-and-garden,,,,1000635
,,11100529,,,,park-and-garden,,,,1000636
,,11100530,,,,park-and-garden,,,,1000637
,,11100531,,,,park-and-garden,,,,1000638
,,11100532,,,,park-and-garden,,,,1000639
,,11100533,,,,park-and-garden,,,,1000640
,,11100534,,,,park-and-garden,,,,1000641
,,11100535,,,,park-and-garden,,,,1000642
,,11100536,,,,park-and-garden,,,,1000643
