old-entity,status,entity,end-date,notes,entry-date,start-date
44009107,410,,,wrong data was added in 2020 for Chichester District Council,,
44002023,301,44013559,,redirect Historic England duplicate to LPA entity,2025-05-13,
44001961,301,44013557,,redirect Historic England duplicate to LPA entity,2025-05-13,
44002030,301,44013562,,redirect Historic England duplicate to LPA entity,2025-05-13,
44002053,301,44013563,,redirect Historic England duplicate to LPA entity,2025-05-13,
44002172,301,44013556,,redirect Historic England duplicate to LPA entity,2025-05-13,
44002550,301,44013561,,redirect Historic England duplicate to LPA entity,2025-05-13,
44002118,301,44013560,,redirect Historic England duplicate to LPA entity,2025-05-13,
44002163,301,44013558,,redirect Historic England duplicate to LPA entity,2025-05-13,
44002920,301,44013566,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002921,301,44013567,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002922,301,44013568,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002923,301,44013575,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002924,301,44013576,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002925,301,44013577,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002926,301,44013581,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002927,301,44013582,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002928,301,44013583,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002929,301,44013584,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002930,301,44013585,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002931,301,44013586,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002932,301,44013587,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002933,301,44013588,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002934,301,44013590,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002935,301,44013591,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002936,301,44013633,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002937,301,44013592,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002938,301,44013593,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002939,301,44013589,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002940,301,44013610,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002941,301,44013611,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002942,301,44013618,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002943,301,44013621,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002944,301,44013625,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002945,301,44013626,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002946,301,44013627,,redirect Historic England duplicate to LPA entity,2025-08-27,
44002947,301,44013628,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004875,301,44013630,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004876,301,44013631,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004877,301,44013629,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004878,301,44013569,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004879,301,44013565,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004880,301,44013578,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004881,301,44013595,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004882,301,44013594,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004883,301,44013604,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004884,301,44013579,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004885,301,44013580,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004886,301,44013570,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004887,301,44013607,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004888,301,44013605,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004889,301,44013598,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004890,301,44013600,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004891,301,44013603,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004892,301,44013596,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004893,301,44013601,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004894,301,44013597,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004895,301,44013571,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004896,301,44013606,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004897,301,44013602,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004898,301,44013609,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004899,301,44013572,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004900,301,44013608,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004901,301,44013599,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004902,301,44013573,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004903,301,44013564,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004904,301,44013574,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004905,301,44013619,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004906,301,44013614,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004907,301,44013613,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004908,301,44013615,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004909,301,44013622,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004910,301,44013623,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004911,301,44013620,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004912,301,44013612,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004913,301,44013616,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004914,301,44013617,,redirect Historic England duplicate to LPA entity,2025-08-27,
44004915,301,44013624,,redirect Historic England duplicate to LPA entity,2025-08-27,
44012560,301,44013632,,redirect Historic England duplicate to LPA entity,2025-08-27,
44000302,301,44013580,,redirect Historic England duplicate to LPA entity,2025-08-27,
44000175,301,44014035,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000176,301,44014036,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000177,301,44014038,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000178,301,44014039,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000179,301,44014040,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000180,301,44014041,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000181,301,44014042,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000182,301,44014044,,redirect Historic England duplicate to LPA entity,2025-08-28,
44000183,301,44014045,,redirect Historic England duplicate to LPA entity,2025-08-28,
