prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
planning-condition,,,,local-authority:DNC,U0108682,73000287,,,
planning-condition,,,,local-authority:DNC,U0108683,73000288,,,
planning-condition,,,,local-authority:DNC,U0108684,73000289,,,
planning-condition,,,,local-authority:DNC,U0108685,73000290,,,
planning-condition,,,,local-authority:DNC,U0108686,73000291,,,
planning-condition,,,,local-authority:DNC,U0108689,73000292,,,
planning-condition,,,,local-authority:DNC,U0108693,73000293,,,
planning-condition,,,,local-authority:DNC,U0108694,73000294,,,
planning-condition,,,,local-authority:DNC,U0108695,73000295,,,
planning-condition,,,,local-authority:DNC,U0108696,73000296,,,
planning-condition,,,,local-authority:DNC,U0108697,73000297,,,
planning-condition,,,,local-authority:DNC,U0108698,73000298,,,
planning-condition,,,,local-authority:DNC,U0108699,73000299,,,
planning-condition,,,,local-authority:DNC,U0108701,73000300,,,
planning-condition,,,,local-authority:DNC,U0108702,73000301,,,
planning-condition,,,,local-authority:DNC,U0108703,73000302,,,
planning-condition,,,,local-authority:DNC,U0108704,73000303,,,
planning-condition,,,,local-authority:DNC,U0108705,73000304,,,
planning-condition,,,,local-authority:DNC,U0108706,73000305,,,
planning-condition,,,,local-authority:DNC,U0108707,73000306,,,
planning-condition,,,,local-authority:DNC,U0108748,73000307,,,
planning-condition,,,,local-authority:DNC,U0108753,73000308,,,
planning-condition,,,,local-authority:DNC,U0108754,73000309,,,
planning-condition,,,,local-authority:DNC,U0108755,73000310,,,
planning-condition,,,,local-authority:DNC,U0108756,73000311,,,
planning-condition,,,,local-authority:DNC,U0108781,73000312,,,
planning-condition,,,,local-authority:DNC,U0108782,73000313,,,
planning-condition,,,,local-authority:DNC,U0108787,73000314,,,
planning-condition,,,,local-authority:DNC,U0108788,73000315,,,
planning-condition,,,,local-authority:DNC,U0108789,73000316,,,
planning-condition,,,,local-authority:DNC,U0108790,73000317,,,
planning-condition,,,,local-authority:DNC,U0108796,73000318,,,
planning-condition,,,,local-authority:DNC,U0108804,73000319,,,
planning-condition,,,,local-authority:DNC,U0108805,73000320,,,
planning-condition,,,,local-authority:DNC,U0108806,73000321,,,
planning-condition,,,,local-authority:DNC,U0108807,73000322,,,
planning-condition,,,,local-authority:DNC,U0108808,73000323,,,
planning-condition,,,,local-authority:DNC,U0108809,73000324,,,
planning-condition,,,,local-authority:DNC,U0108810,73000325,,,
planning-condition,,,,local-authority:DNC,U0108811,73000326,,,
planning-condition,,,,local-authority:DNC,U0108812,73000327,,,
planning-condition,,,,local-authority:DNC,U0108813,73000328,,,
planning-condition,,,,local-authority:DNC,U0108814,73000329,,,
planning-condition,,,,local-authority:DNC,U0108815,73000330,,,
planning-condition,,,,local-authority:DNC,U0108816,73000331,,,
planning-condition,,,,local-authority:DNC,U0108817,73000332,,,
planning-condition,,,,local-authority:DNC,U0108818,73000333,,,
planning-condition,,,,local-authority:DNC,U0108819,73000334,,,
planning-condition,,,,local-authority:DNC,U0108820,73000335,,,
planning-condition,,,,local-authority:DNC,U0108821,73000336,,,
planning-condition,,,,local-authority:DNC,U0108822,73000337,,,
planning-condition,,,,local-authority:DNC,U0108823,73000338,,,
planning-condition,,,,local-authority:DNC,U0108824,73000339,,,
planning-condition,,,,local-authority:DNC,U0108852,73000340,,,
planning-condition,,,,local-authority:DNC,U0108887,73000341,,,
planning-condition,,,,local-authority:DNC,U0108888,73000342,,,
planning-condition,,,,local-authority:DNC,U0108889,73000343,,,
planning-condition,,,,local-authority:DNC,U0108890,73000344,,,
planning-condition,,,,local-authority:DNC,U0108891,73000345,,,
planning-condition,,,,local-authority:DNC,U0108892,73000346,,,
planning-condition,,,,local-authority:DNC,U0108893,73000347,,,
planning-condition,,,,local-authority:DNC,U0108894,73000348,,,
planning-condition,,,,local-authority:DNC,U0108895,73000349,,,
planning-condition,,,,local-authority:DNC,U0108896,73000350,,,
planning-condition,,,,local-authority:DNC,U0108897,73000351,,,
planning-condition,,,,local-authority:DNC,U0108898,73000352,,,
planning-condition,,,,local-authority:DNC,U0108941,73000353,,,
planning-condition,,,,local-authority:DNC,U0108942,73000354,,,
planning-condition,,,,local-authority:DNC,U0108943,73000355,,,
planning-condition,,,,local-authority:DNC,U0108944,73000356,,,
planning-condition,,,,local-authority:DNC,U0108945,73000357,,,
planning-condition,,,,local-authority:DNC,U0108946,73000358,,,
planning-condition,,,,local-authority:DNC,U0108951,73000359,,,
planning-condition,,,,local-authority:DNC,U0108952,73000360,,,
planning-condition,,,,local-authority:DNC,U0108953,73000361,,,
planning-condition,,,,local-authority:DNC,U0108963,73000362,,,
planning-condition,,,,local-authority:DNC,U0108966,73000363,,,
planning-condition,,,,local-authority:DNC,U0108999,73000364,,,
planning-condition,,,,local-authority:DNC,U0109000,73000365,,,
planning-condition,,,,local-authority:DNC,U0109001,73000366,,,
planning-condition,,,,local-authority:DNC,U0109025,73000367,,,
planning-condition,,,,local-authority:DNC,U0109026,73000368,,,
planning-condition,,,,local-authority:DNC,U0109036,73000369,,,
planning-condition,,,,local-authority:DNC,U0109037,73000370,,,
planning-condition,,,,local-authority:DNC,U0109038,73000371,,,
planning-condition,,,,local-authority:DNC,U0109044,73000372,,,
planning-condition,,,,local-authority:DNC,U0109051,73000373,,,
planning-condition,,,,local-authority:DNC,U0109052,73000374,,,
planning-condition,,,,local-authority:DNC,U0109053,73000375,,,
planning-condition,,,,local-authority:DNC,U0109057,73000376,,,
planning-condition,,,,local-authority:DNC,U0109058,73000377,,,
planning-condition,,,,local-authority:DNC,U0109059,73000378,,,
planning-condition,,,,local-authority:DNC,U0109060,73000379,,,
planning-condition,,,,local-authority:DNC,U0109071,73000380,,,
planning-condition,,,,local-authority:DNC,U0109072,73000381,,,
planning-condition,,,,local-authority:DNC,U0109073,73000382,,,
planning-condition,,,,local-authority:DNC,U0109074,73000383,,,
planning-condition,,,,local-authority:DNC,U0109075,73000384,,,
planning-condition,,,,local-authority:DNC,U0109076,73000385,,,
planning-condition,,,,local-authority:DNC,U0109078,73000386,,,
planning-condition,,,,local-authority:DNC,U0109106,73000387,,,
planning-condition,,,,local-authority:DNC,U0109141,73000388,,,
planning-condition,,,,local-authority:DNC,U0109142,73000389,,,
planning-condition,,,,local-authority:DNC,U0109143,73000390,,,
planning-condition,,,,local-authority:DNC,U0109144,73000391,,,
planning-condition,,,,local-authority:DNC,U0109145,73000392,,,
planning-condition,,,,local-authority:DNC,U0109159,73000393,,,
planning-condition,,,,local-authority:DNC,U0109160,73000394,,,
planning-condition,,,,local-authority:DNC,U0109161,73000395,,,
planning-condition,,,,local-authority:DNC,U0109162,73000396,,,
planning-condition,,,,local-authority:DNC,U0109163,73000397,,,
planning-condition,,,,local-authority:DNC,U0109164,73000398,,,
planning-condition,,,,local-authority:DNC,U0109165,73000399,,,
planning-condition,,,,local-authority:DNC,U0109166,73000400,,,
planning-condition,,,,local-authority:DNC,U0109167,73000401,,,
planning-condition,,,,local-authority:DNC,U0109168,73000402,,,
planning-condition,,,,local-authority:DNC,U0109169,73000403,,,
planning-condition,,,,local-authority:DNC,U0109170,73000404,,,
planning-condition,,,,local-authority:DNC,U0109171,73000405,,,
planning-condition,,,,local-authority:DNC,U0109172,73000406,,,
planning-condition,,,,local-authority:DNC,U0109184,73000407,,,
planning-condition,,,,local-authority:DNC,U0109197,73000408,,,
